result_id	analysis_id	metric	value	unit	model	population_or_n	source_table	status	notes
fig2e_spearman_psrc1_rna	fig2_kircher_sort1	Kircher MPRA versus AlphaGenome Spearman rho, PSRC1_RNA	0.6448663588593183	Spearman rho	ALL_FOLDS	n=1798 substitutions	outputs/source_data/Figure2E_kircher_correlations.tsv	verified_from_release_table	
fig2e_pearson_celsr2_rna	fig2_kircher_sort1	Kircher MPRA versus AlphaGenome Pearson r, CELSR2_RNA	0.8467584493836037	Pearson r	ALL_FOLDS	n=1798 substitutions	outputs/source_data/Figure2E_kircher_correlations.tsv	verified_from_release_table	
fig2e_spearman_celsr2_rna	fig2_kircher_sort1	Kircher MPRA versus AlphaGenome Spearman rho, CELSR2_RNA	0.6688355094338083	Spearman rho	ALL_FOLDS	n=1798 substitutions	outputs/source_data/Figure2E_kircher_correlations.tsv	verified_from_release_table	
fig2e_pearson_atac	fig2_kircher_sort1	Kircher MPRA versus AlphaGenome Pearson r, ATAC	0.7996620855223466	Pearson r	ALL_FOLDS	n=1798 substitutions	outputs/source_data/Figure2E_kircher_correlations.tsv	verified_from_release_table	
fig2e_spearman_atac	fig2_kircher_sort1	Kircher MPRA versus AlphaGenome Spearman rho, ATAC	0.639866721608828	Spearman rho	ALL_FOLDS	n=1798 substitutions	outputs/source_data/Figure2E_kircher_correlations.tsv	verified_from_release_table	
fig2e_pearson_h3k27ac	fig2_kircher_sort1	Kircher MPRA versus AlphaGenome Pearson r, H3K27ac	0.8325136738730008	Pearson r	ALL_FOLDS	n=1798 substitutions	outputs/source_data/Figure2E_kircher_correlations.tsv	verified_from_release_table	
fig2e_spearman_h3k27ac	fig2_kircher_sort1	Kircher MPRA versus AlphaGenome Spearman rho, H3K27ac	0.6627595412210625	Spearman rho	ALL_FOLDS	n=1798 substitutions	outputs/source_data/Figure2E_kircher_correlations.tsv	verified_from_release_table	
fig2f_pooled_atac	fig2_kircher_multielement	Random-effects pooled Spearman rho, ATAC	0.5313265961832118	Spearman rho	ALL_FOLDS	k=4 elements	outputs/source_data/Figure2F_kircher_multielement/RESULTS.json	verified_from_release_table	95% CI 0.395735 to 0.644248; I2=97.358%
fig2f_atac_q	fig2_kircher_multielement	Random-effects heterogeneity Q, ATAC	113.54191766436647	Cochran Q	ALL_FOLDS	k=4 elements	outputs/source_data/Figure2F_kircher_multielement/RESULTS.json	verified_from_release_table	
fig2f_atac_q_p	fig2_kircher_multielement	Random-effects heterogeneity Q_p, ATAC	1.896617251190778e-24	P value	ALL_FOLDS	k=4 elements	outputs/source_data/Figure2F_kircher_multielement/RESULTS.json	verified_from_release_table	
fig2f_atac_i2_percent	fig2_kircher_multielement	Random-effects heterogeneity I2_percent, ATAC	97.35780400603406	percent	ALL_FOLDS	k=4 elements	outputs/source_data/Figure2F_kircher_multielement/RESULTS.json	verified_from_release_table	
fig2f_pooled_dnase	fig2_kircher_multielement	Random-effects pooled Spearman rho, DNASE	0.4186408547040226	Spearman rho	ALL_FOLDS	k=6 elements	outputs/source_data/Figure2F_kircher_multielement/RESULTS.json	verified_from_release_table	95% CI 0.165898 to 0.619775; I2=99.383%
fig2f_dnase_q	fig2_kircher_multielement	Random-effects heterogeneity Q, DNASE	810.1705684493782	Cochran Q	ALL_FOLDS	k=6 elements	outputs/source_data/Figure2F_kircher_multielement/RESULTS.json	verified_from_release_table	
fig2f_dnase_q_p	fig2_kircher_multielement	Random-effects heterogeneity Q_p, DNASE	7.294357184301982e-173	P value	ALL_FOLDS	k=6 elements	outputs/source_data/Figure2F_kircher_multielement/RESULTS.json	verified_from_release_table	
fig2f_dnase_i2_percent	fig2_kircher_multielement	Random-effects heterogeneity I2_percent, DNASE	99.38284600864115	percent	ALL_FOLDS	k=6 elements	outputs/source_data/Figure2F_kircher_multielement/RESULTS.json	verified_from_release_table	
fig2f_matched4_dnase	fig2_kircher_multielement	Matched-four random-effects Spearman rho, DNASE	0.5476885658184164	Spearman rho	ALL_FOLDS	k=4 matched elements	outputs/source_data/Figure2F_kircher_multielement/RESULTS.json	verified_from_release_table	95% CI 0.376326 to 0.682818
fig2f_matched4_atac	fig2_kircher_multielement	Matched-four random-effects Spearman rho, ATAC	0.5313265961832118	Spearman rho	ALL_FOLDS	k=4 matched elements	outputs/source_data/Figure2F_kircher_multielement/RESULTS.json	verified_from_release_table	95% CI 0.395735 to 0.644248
fig2f_f9_dnase_rho	fig2_kircher_multielement	Element-level Spearman rho, F9, DNASE	0.4738345411492322	Spearman rho	ALL_FOLDS	n=885 substitutions	outputs/source_data/Figure2F_kircher_multielement/kircher_multielement_element_statistics.tsv	verified_from_release_table	Cell context: HepG2; 95% CI 0.421082 to 0.523392
fig2f_f9_atac_rho	fig2_kircher_multielement	Element-level Spearman rho, F9, ATAC	0.4765381857403055	Spearman rho	ALL_FOLDS	n=885 substitutions	outputs/source_data/Figure2F_kircher_multielement/kircher_multielement_element_statistics.tsv	verified_from_release_table	Cell context: HepG2; 95% CI 0.423951 to 0.525923
fig2f_foxe1_dnase_rho	fig2_kircher_multielement	Element-level Spearman rho, FOXE1, DNASE	0.0454200443674499	Spearman rho	ALL_FOLDS	n=1790 substitutions	outputs/source_data/Figure2F_kircher_multielement/kircher_multielement_element_statistics.tsv	verified_from_release_table	Cell context: HeLa-S3; 95% CI -0.00091406 to 0.0915595
fig2f_ldlr_dnase_rho	fig2_kircher_multielement	Element-level Spearman rho, LDLR, DNASE	0.3361121506554272	Spearman rho	ALL_FOLDS	n=949 substitutions	outputs/source_data/Figure2F_kircher_multielement/kircher_multielement_element_statistics.tsv	verified_from_release_table	Cell context: HepG2; 95% CI 0.278429 to 0.39138
fig2f_ldlr_atac_rho	fig2_kircher_multielement	Element-level Spearman rho, LDLR, ATAC	0.3515582144612859	Spearman rho	ALL_FOLDS	n=949 substitutions	outputs/source_data/Figure2F_kircher_multielement/kircher_multielement_element_statistics.tsv	verified_from_release_table	Cell context: HepG2; 95% CI 0.294508 to 0.406111
fig2f_myc_rs11986220_dnase_rho	fig2_kircher_multielement	Element-level Spearman rho, MYC_rs11986220, DNASE	0.1720689938008387	Spearman rho	ALL_FOLDS	n=1369 substitutions	outputs/source_data/Figure2F_kircher_multielement/kircher_multielement_element_statistics.tsv	verified_from_release_table	Cell context: LNCaP clone FGC; 95% CI 0.120183 to 0.223017
fig2f_pklr_dnase_rho	fig2_kircher_multielement	Element-level Spearman rho, PKLR, DNASE	0.6323839414272215	Spearman rho	ALL_FOLDS	n=1376 substitutions	outputs/source_data/Figure2F_kircher_multielement/kircher_multielement_element_statistics.tsv	verified_from_release_table	Cell context: K562; 95% CI 0.599575 to 0.663071
fig2f_pklr_atac_rho	fig2_kircher_multielement	Element-level Spearman rho, PKLR, ATAC	0.630794541029482	Spearman rho	ALL_FOLDS	n=1376 substitutions	outputs/source_data/Figure2F_kircher_multielement/kircher_multielement_element_statistics.tsv	verified_from_release_table	Cell context: K562; 95% CI 0.597879 to 0.661587
fig2f_sort1_dnase_rho	fig2_kircher_multielement	Element-level Spearman rho, SORT1, DNASE	0.689441013292506	Spearman rho	ALL_FOLDS	n=1784 substitutions	outputs/source_data/Figure2F_kircher_multielement/kircher_multielement_element_statistics.tsv	verified_from_release_table	Cell context: HepG2; 95% CI 0.664286 to 0.713036
fig2f_sort1_atac_rho	fig2_kircher_multielement	Element-level Spearman rho, SORT1, ATAC	0.62639098815896	Spearman rho	ALL_FOLDS	n=1784 substitutions	outputs/source_data/Figure2F_kircher_multielement/kircher_multielement_element_statistics.tsv	verified_from_release_table	Cell context: HepG2; 95% CI 0.597346 to 0.653795
fig3f_mean_window_length_bp	fig3_boundary_grid	Shortest mean-passing window window_length_bp	287.0	bp	ALL_FOLDS	8 frozen scramble seeds	outputs/source_data/Figure3F_boundary_grid/selected_mean_window.csv	verified_from_release_table	
fig3f_mean_outside_mean_retention	fig3_boundary_grid	Shortest mean-passing window outside_mean_retention	0.7310049629021287	fraction	ALL_FOLDS	8 frozen scramble seeds	outputs/source_data/Figure3F_boundary_grid/selected_mean_window.csv	verified_from_release_table	
fig3f_mean_outside_median_retention	fig3_boundary_grid	Shortest mean-passing window outside_median_retention	0.6640694529848681	fraction	ALL_FOLDS	8 frozen scramble seeds	outputs/source_data/Figure3F_boundary_grid/selected_mean_window.csv	verified_from_release_table	
fig3f_mean_inside_mean_retention	fig3_boundary_grid	Shortest mean-passing window inside_mean_retention	0.0272208132057252	fraction	ALL_FOLDS	8 frozen scramble seeds	outputs/source_data/Figure3F_boundary_grid/selected_mean_window.csv	verified_from_release_table	
fig3f_median_window_length_bp	fig3_boundary_grid	Shortest median-passing window window_length_bp	315.0	bp	ALL_FOLDS	8 frozen scramble seeds	outputs/source_data/Figure3F_boundary_grid/selected_median_window.csv	verified_from_release_table	
fig3f_median_outside_mean_retention	fig3_boundary_grid	Shortest median-passing window outside_mean_retention	0.7397297892604857	fraction	ALL_FOLDS	8 frozen scramble seeds	outputs/source_data/Figure3F_boundary_grid/selected_median_window.csv	verified_from_release_table	
fig3f_median_outside_median_retention	fig3_boundary_grid	Shortest median-passing window outside_median_retention	0.7089269222371807	fraction	ALL_FOLDS	8 frozen scramble seeds	outputs/source_data/Figure3F_boundary_grid/selected_median_window.csv	verified_from_release_table	
fig3f_median_inside_mean_retention	fig3_boundary_grid	Shortest median-passing window inside_mean_retention	0.0265085707873704	fraction	ALL_FOLDS	8 frozen scramble seeds	outputs/source_data/Figure3F_boundary_grid/selected_median_window.csv	verified_from_release_table	
fig3g_retention_native	fig3_component_necessity	Mean three-gene retention after scrambling native	1.0	fraction	ALL_FOLDS	n=8 seeds	outputs/source_data/Figure3G_component_necessity.tsv	verified_from_release_table	
fig3g_retention_full_315	fig3_component_necessity	Mean three-gene retention after scrambling full_315	0.0140253297413023	fraction	ALL_FOLDS	n=8 seeds	outputs/source_data/Figure3G_component_necessity.tsv	verified_from_release_table	
fig3g_retention_h1	fig3_component_necessity	Mean three-gene retention after scrambling H1	0.8894386582180301	fraction	ALL_FOLDS	n=8 seeds	outputs/source_data/Figure3G_component_necessity.tsv	verified_from_release_table	
fig3g_retention_h2	fig3_component_necessity	Mean three-gene retention after scrambling H2	0.8911288453426285	fraction	ALL_FOLDS	n=8 seeds	outputs/source_data/Figure3G_component_necessity.tsv	verified_from_release_table	
fig3g_retention_h3	fig3_component_necessity	Mean three-gene retention after scrambling H3	0.7790545546762977	fraction	ALL_FOLDS	n=8 seeds	outputs/source_data/Figure3G_component_necessity.tsv	verified_from_release_table	
fig3g_retention_h4	fig3_component_necessity	Mean three-gene retention after scrambling H4	0.998966743114544	fraction	ALL_FOLDS	n=8 seeds	outputs/source_data/Figure3G_component_necessity.tsv	verified_from_release_table	
fig3g_retention_h5	fig3_component_necessity	Mean three-gene retention after scrambling H5	0.2938948490729199	fraction	ALL_FOLDS	n=8 seeds	outputs/source_data/Figure3G_component_necessity.tsv	verified_from_release_table	
fig3g_retention_h6	fig3_component_necessity	Mean three-gene retention after scrambling H6	0.9073029923467096	fraction	ALL_FOLDS	n=8 seeds	outputs/source_data/Figure3G_component_necessity.tsv	verified_from_release_table	
fig3g_retention_c_ebp	fig3_component_necessity	Mean three-gene retention after scrambling C/EBP	0.0559896508747781	fraction	ALL_FOLDS	n=8 seeds	outputs/source_data/Figure3G_component_necessity.tsv	verified_from_release_table	
fig3g_retention_upstream_arm	fig3_component_necessity	Mean three-gene retention after scrambling upstream_arm	0.0232732317608205	fraction	ALL_FOLDS	n=8 seeds	outputs/source_data/Figure3G_component_necessity.tsv	verified_from_release_table	
fig3g_retention_downstream_arm	fig3_component_necessity	Mean three-gene retention after scrambling downstream_arm	0.6582787029400173	fraction	ALL_FOLDS	n=8 seeds	outputs/source_data/Figure3G_component_necessity.tsv	verified_from_release_table	
fig3g_retention_both_arms	fig3_component_necessity	Mean three-gene retention after scrambling both_arms	0.0210860817074826	fraction	ALL_FOLDS	n=8 seeds	outputs/source_data/Figure3G_component_necessity.tsv	verified_from_release_table	
fig3e_upstream_protected_only	fig3_directional_recovery	Three-gene mean retention, upstream restoration, protected_only	0.0197896617038047	fraction	ALL_FOLDS	8 frozen scramble seeds	outputs/source_data/Figure3E_directional_recovery.tsv	verified_from_release_table	Native sequence restored: 0 bp
fig3e_upstream_maximum	fig3_directional_recovery	Three-gene mean retention, upstream restoration, maximum	0.4904992686703576	fraction	ALL_FOLDS	8 frozen scramble seeds	outputs/source_data/Figure3E_directional_recovery.tsv	verified_from_release_table	Native sequence restored: 800 bp
fig3e_downstream_protected_only	fig3_directional_recovery	Three-gene mean retention, downstream restoration, protected_only	0.0197896617038047	fraction	ALL_FOLDS	8 frozen scramble seeds	outputs/source_data/Figure3E_directional_recovery.tsv	verified_from_release_table	Native sequence restored: 0 bp
fig3e_downstream_maximum	fig3_directional_recovery	Three-gene mean retention, downstream restoration, maximum	0.0378633833342179	fraction	ALL_FOLDS	8 frozen scramble seeds	outputs/source_data/Figure3E_directional_recovery.tsv	verified_from_release_table	Native sequence restored: 10 bp
figs7_direction_agreement_all_genes	figs7_hotspot_heldout_audit	ALL_FOLDS/FOLD_0 direction agreement across gene-window comparisons	19	of 21 comparisons	ALL_FOLDS;FOLD_0	7 windows x 3 genes	outputs/source_data/FigureS7_native_sequence_audit.tsv	verified_from_release_table	
figs7_sort1_direction_agreement	figs7_hotspot_heldout_audit	ALL_FOLDS/FOLD_0 direction agreement across SORT1 windows	6	of 7 windows	ALL_FOLDS;FOLD_0	7 frozen windows	outputs/source_data/FigureS7_native_sequence_audit.tsv	verified_from_release_table	
figs7_sort1_rank_concordance	figs7_hotspot_heldout_audit	ALL_FOLDS/FOLD_0 SORT1 window-rank concordance	0.9642857142857145	Spearman rho	ALL_FOLDS;FOLD_0	7 frozen windows	outputs/source_data/FigureS7_native_sequence_audit.tsv	verified_from_release_table	
fig4b_30bp_rs127_major	fig4_transfer_distance	Mean RNA change at 30 bp, rs127_major	0.0114672593744251	AlphaGenome RNA delta	ALL_FOLDS	n=100 recipients	outputs/source_data/Figure4B_distance_response.tsv	verified_from_release_table	
fig4b_30bp_rs127_minor	fig4_transfer_distance	Mean RNA change at 30 bp, rs127_minor	0.2154871764305343	AlphaGenome RNA delta	ALL_FOLDS	n=100 recipients	outputs/source_data/Figure4B_distance_response.tsv	verified_from_release_table	
fig4b_30bp_scrambled_control	fig4_transfer_distance	Mean RNA change at 30 bp, scrambled_control	-0.0006436289100528	AlphaGenome RNA delta	ALL_FOLDS	n=100 recipients	outputs/source_data/Figure4B_distance_response.tsv	verified_from_release_table	
fig4c_median_bottom500_rs127_major	fig4_foldchange_cohorts	Median log2 construct/native effect, bottom500, rs127_major	2.94231430714761	log2 fold change	ALL_FOLDS	n=498 recipients	outputs/source_data/Figure4C_foldchange_cohorts/Figure4C_fold_change_summary.csv	verified_from_release_table	
fig4c_fraction_up_bottom500_rs127_major	fig4_foldchange_cohorts	Fraction above native, bottom500, rs127_major	0.9658634538152612	fraction	ALL_FOLDS	n=498 recipients	outputs/source_data/Figure4C_foldchange_cohorts/Figure4C_fold_change_summary.csv	verified_from_release_table	
fig4c_median_bottom500_rs127_minor	fig4_foldchange_cohorts	Median log2 construct/native effect, bottom500, rs127_minor	7.121316094436047	log2 fold change	ALL_FOLDS	n=498 recipients	outputs/source_data/Figure4C_foldchange_cohorts/Figure4C_fold_change_summary.csv	verified_from_release_table	
fig4c_fraction_up_bottom500_rs127_minor	fig4_foldchange_cohorts	Fraction above native, bottom500, rs127_minor	0.9919678714859438	fraction	ALL_FOLDS	n=498 recipients	outputs/source_data/Figure4C_foldchange_cohorts/Figure4C_fold_change_summary.csv	verified_from_release_table	
fig4c_median_bottom500_scrambled_control	fig4_foldchange_cohorts	Median log2 construct/native effect, bottom500, scrambled_control	-0.234271347675439	log2 fold change	ALL_FOLDS	n=498 recipients	outputs/source_data/Figure4C_foldchange_cohorts/Figure4C_fold_change_summary.csv	verified_from_release_table	
fig4c_fraction_up_bottom500_scrambled_control	fig4_foldchange_cohorts	Fraction above native, bottom500, scrambled_control	0.3554216867469879	fraction	ALL_FOLDS	n=498 recipients	outputs/source_data/Figure4C_foldchange_cohorts/Figure4C_fold_change_summary.csv	verified_from_release_table	
fig4c_median_middle500_rs127_major	fig4_foldchange_cohorts	Median log2 construct/native effect, middle500, rs127_major	0.3833518216634279	log2 fold change	ALL_FOLDS	n=486 recipients	outputs/source_data/Figure4C_foldchange_cohorts/Figure4C_fold_change_summary.csv	verified_from_release_table	
fig4c_fraction_up_middle500_rs127_major	fig4_foldchange_cohorts	Fraction above native, middle500, rs127_major	0.7530864197530864	fraction	ALL_FOLDS	n=486 recipients	outputs/source_data/Figure4C_foldchange_cohorts/Figure4C_fold_change_summary.csv	verified_from_release_table	
fig4c_median_middle500_rs127_minor	fig4_foldchange_cohorts	Median log2 construct/native effect, middle500, rs127_minor	1.6278843282531938	log2 fold change	ALL_FOLDS	n=486 recipients	outputs/source_data/Figure4C_foldchange_cohorts/Figure4C_fold_change_summary.csv	verified_from_release_table	
fig4c_fraction_up_middle500_rs127_minor	fig4_foldchange_cohorts	Fraction above native, middle500, rs127_minor	0.9670781893004116	fraction	ALL_FOLDS	n=486 recipients	outputs/source_data/Figure4C_foldchange_cohorts/Figure4C_fold_change_summary.csv	verified_from_release_table	
fig4c_median_middle500_scrambled_control	fig4_foldchange_cohorts	Median log2 construct/native effect, middle500, scrambled_control	-0.201271138791332	log2 fold change	ALL_FOLDS	n=486 recipients	outputs/source_data/Figure4C_foldchange_cohorts/Figure4C_fold_change_summary.csv	verified_from_release_table	
fig4c_fraction_up_middle500_scrambled_control	fig4_foldchange_cohorts	Fraction above native, middle500, scrambled_control	0.3148148148148148	fraction	ALL_FOLDS	n=486 recipients	outputs/source_data/Figure4C_foldchange_cohorts/Figure4C_fold_change_summary.csv	verified_from_release_table	
