panel	status	analysis_id	release_asset	release_source_table	model_regime	external_sources	legacy_asset	legacy_analysis_or_render_script	notes
2F	final	fig2_kircher_multielement	figures/rendered/Figure2F.svg	outputs/source_data/Figure2F_kircher_multielement/	ALL_FOLDS	Kircher_2019	investigation/SORT1_cholesterol_musunuru_2010/report/panel_kircher_multielement/Figure2F_Kircher_multielement_DNase_ATAC_forest.svg	investigation/SORT1_cholesterol_musunuru_2010/report/panel_kircher_multielement/run_multielement_benchmark.py	ALL_FOLDS forest; held-out comparisons are supplementary. Source-backed renderer ported to figures/fig2.py::render_fig2f.
3A	final	fig3_regional_ism	figures/rendered/Figure3A.svg	outputs/source_data/Figure3A_regional_ism/	ALL_FOLDS	GENCODE_v46	investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_A_regional_coordinated_ism/Figure3A_regional_coordinated_RNA_ISM.svg	investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_A_regional_coordinated_ism/make_panel_A.py	100-kb regional scan Full per-position tables (171 MB, 18.5 MB) are Zenodo-pending; see outputs/run_manifests/zenodo_pending_large_outputs.tsv. Only run_metadata.json and stage2_top_windows_per_gene.tsv (compact) are committed here.
3B	final	fig3_native_501bp_ism	figures/rendered/Figure3B.svg	outputs/source_data/Figure3B_native_501bp_ism/	ALL_FOLDS	GENCODE_v46	investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_B_base_substitution_501bp/Figure3B_501bp_THREE_GENE_MEAN_WITH_FROZEN_HOTSPOTS.svg	investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_B_base_substitution_501bp/run_native_locus_501bp_ism.py	Three-gene mean with frozen SORT1-selected hotspots
3C	final	fig3_pwm_compatibility	figures/rendered/Figure3C.svg	outputs/source_data/Figure3C_pwm_compatibility.tsv	NA	JASPAR_2024_CORE_vertebrate_nonredundant	investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_C_motif_family_disruption/Figure3C_PWM_disruption.svg	investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_C_motif_family_disruption/make_panel_C.py	Motif-family compatibility ranking
3D	author-layout	fig3_scramble_schematic	figures/assembled/Figure3.svg		NA		investigation/SORT1_cholesterol_musunuru_2010/report/manuscript_and_figures/figure3.svg		Editable author-layout panel preserved in the checksummed final Figure 3 composite SVG; matched G/T outside- and inside-scramble design
3E	final	fig3_directional_recovery	figures/rendered/Figure3E.svg	outputs/source_data/Figure3E_directional_recovery.tsv	ALL_FOLDS		investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_E_directional_scramble_recovery/Figure3E_directional_scramble_recovery.svg	investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_E_directional_scramble_recovery/make_panel_E.py	Three-gene mean thick line and individual-gene traces PORTED to release repo (figures/fig3.py::render_fig3e); output canvas dimensions verified byte-identical to legacy SVG.
3F	final	fig3_boundary_grid	figures/rendered/Figure3F.svg	outputs/source_data/Figure3F_boundary_grid/	ALL_FOLDS		investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_F_optimal_window_heatmap/Figure3F_WIDER_uniform_1bp_ASSESSMENT.svg	investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_F_optimal_window_heatmap/make_uniform_wide_main_panel.py	SORT1-only frozen boundary scan; do not relabel as three-gene mean PORTED to release repo (figures/fig3.py::render_fig3f); output canvas dimensions verified byte-identical to legacy SVG.
3G	final	fig3_component_necessity	figures/rendered/Figure3G.svg	outputs/source_data/Figure3G_component_necessity.tsv	ALL_FOLDS		investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_F_component_necessity_expanded/Figure3G_component_necessity_three_gene_mean.svg	investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_F_component_necessity_expanded/make_panel.py	Three-gene mean PORTED to release repo (figures/fig3.py::render_fig3g); output canvas dimensions verified byte-identical to legacy SVG.
4A	author-layout	fig4_transfer_schematic	figures/assembled/Figure4.svg		NA	HPA_v24_1	investigation/SORT1_cholesterol_musunuru_2010/report/manuscript_and_figures/figure4.svg		Editable author-layout panel preserved in the checksummed final Figure 4 composite SVG; 315-bp module transfer into 1500 recipient promoters
4B	final	fig4_distance_response	figures/rendered/Figure4B.svg	outputs/source_data/Figure4B_distance_response.tsv	ALL_FOLDS	HPA_v24_1	investigation/SORT1_cholesterol_musunuru_2010/report/figure4_portability_315bp/panel_distance_response/Figure4_portability_315bp_distance_response.svg	investigation/SORT1_cholesterol_musunuru_2010/report/panel_scramble_no_expression/plot_hpa_315bp_main_panels.py	Current accepted distance-response panel. SVG is a byte-identical renamed copy (SHA-256 verified) of Figure3D_315bp_HPA_bottom100_distance_response, staged from panel_scramble_no_expression/results/hpa_liver_315bp_portability_replication/main_figure_panels/ per figure4_portability_315bp/README.md. Source table: Figure3D_315bp_distance_response_values.csv (2.2 KB).
4C	final	fig4_foldchange_cohorts	figures/rendered/Figure4C.svg	outputs/source_data/Figure4C_foldchange_cohorts/	ALL_FOLDS	HPA_v24_1	investigation/SORT1_cholesterol_musunuru_2010/report/figure4_portability_315bp/panel_C_fold_change_by_cohort/Figure4C_315bp_fold_change_by_HPA_cohort.svg	investigation/SORT1_cholesterol_musunuru_2010/report/figure4_portability_315bp/plot_figure4C_fold_change_by_cohort.py	Lowest/middle/highest HPA_v24_1 cohorts
4D	author-layout	fig4_distal_contact_design	figures/assembled/Figure4.svg		NA	4DNFICSTCJQZ	investigation/SORT1_cholesterol_musunuru_2010/report/manuscript_and_figures/figure4.svg		Editable author-layout panel preserved in the checksummed final Figure 4 composite SVG; high-contact versus two distance-matched low-contact replacement sites
4E	final	fig4_distance_fraction_positive	figures/rendered/Figure4E.svg	outputs/source_data/Figure4E_distance_fraction_positive/	ALL_FOLDS	4DNFICSTCJQZ;GENCODE_v46	investigation/SORT1_cholesterol_musunuru_2010/report/panel_distal_hic_transfer/plots/panel_A_distance_fraction_positive.svg	investigation/SORT1_cholesterol_musunuru_2010/report/panel_distal_hic_transfer/plot_distal_contact_results.py	Current accepted panel
4F	final	fig4_contact_dose_response	figures/rendered/Figure4F.svg	outputs/source_data/Figure4F_contact_dose_response.tsv	ALL_FOLDS	4DNFICSTCJQZ;GENCODE_v46	investigation/SORT1_cholesterol_musunuru_2010/report/panel_distal_hic_transfer/plots/panel_B2_contact_dose_response_five_distance_bands_no_ci.svg	investigation/SORT1_cholesterol_musunuru_2010/report/panel_distal_hic_transfer/plot_distal_contact_results.py	No-CI main-text rendering; uncertainty retained in source/supplement
4G	final	fig4_tissue_rna	figures/rendered/Figure4G.svg	outputs/source_data/Figure4G_tissue_rna.tsv	ALL_FOLDS		investigation/SORT1_cholesterol_musunuru_2010/report/panel_TF_insertion/revised_figure4_panels/Figure4A_rs12740374_tissue_RNA_heatmap.svg	investigation/SORT1_cholesterol_musunuru_2010/report/panel_TF_insertion/make_revised_figure4_panels.py	Legacy A relabeled G in expanded Figure 4. Resolved render script: make_revised_figure4_panels.py.
4H	final	fig4_regional_tissue_scan	figures/rendered/Figure4H.svg	outputs/source_data/Figure4H_regional_tissue_scan.tsv	ALL_FOLDS	GENCODE_v46	investigation/SORT1_cholesterol_musunuru_2010/report/panel_TF_insertion/revised_figure4_panels/Figure4B_full_region_tissue_coordinated_RNA.svg	investigation/SORT1_cholesterol_musunuru_2010/report/panel_TF_insertion/make_revised_figure4_panels.py	Legacy B relabeled H. Resolved render script: make_revised_figure4_panels.py. Source table (17.3 MB) is Zenodo-pending; see outputs/run_manifests/zenodo_pending_large_outputs.tsv (SHA-256 recorded, not committed to git).
4I	author-layout	fig4_motif_replacement_schematic	figures/rendered/Figure4I.svg		NA		investigation/SORT1_cholesterol_musunuru_2010/report/panel_TF_insertion/revised_figure4_panels/Figure4C_simple_motif_replacement_schematic.svg		Same-length motif replacement schematic
4J	final	fig4_motif_discovery_map	figures/rendered/Figure4J.svg	outputs/source_data/Figure4J_motif_discovery_map.tsv	ALL_FOLDS		investigation/SORT1_cholesterol_musunuru_2010/report/panel_TF_insertion/revised_figure4_panels/Figure4D_corrected_discovery_panel_Inkscape/Figure4D_ALL_FOLDS_discovery_raw_sumdelta_positive_orientation.svg	investigation/SORT1_cholesterol_musunuru_2010/report/panel_TF_insertion/make_main_figure4d_discovery_heatmap.py	Exploratory discovery map; no rs12740374 subtraction; positive-orientation rule. Resolved render script: make_main_figure4d_discovery_heatmap.py (loads plotting helper make_dense100kb_8tf_3cell_heatmaps.py). Input table results/figure3/panelF/tf_insertion_dense_100kb_8tf_3tracks/dense_100kb_8tf_3tracks_variant_summary.tsv is ~528 MB — NOT copied into the release; Zenodo-deposit pending, SHA-256 recorded in outputs/run_manifests/. Source table (528 MB) is Zenodo-pending; see outputs/run_manifests/zenodo_pending_large_outputs.tsv (SHA-256 recorded, not committed to git).
S1A	final	figs1_observed_virtual4c	figures/rendered/FigureS1A.svg	outputs/source_data/FigureS1A_observed_virtual4c.tsv	EXPERIMENTAL	4DNFICSTCJQZ	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_observed_virtual4c/figure1_contact_observed_virtual4c.svg	investigation/SORT1_cholesterol_musunuru_2010/report/panel_contact/run_observed_hic_validation.py	Contact figure now assigned S1
S1B	final	figs1_tss_bin_contact	figures/rendered/FigureS1B.svg	outputs/source_data/FigureS1B_tss_bin_contact.tsv	FOLD_0;EXPERIMENTAL	4DNFICSTCJQZ	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_contact_resolution_sensitivity/figure1_contact_resolution_sensitivity.svg	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/build_figure1_supplementary_panels.py	TSS-containing-bin sensitivity; same layout/colors as Fig1F. Resolved: rendered by build_figure1_supplementary_panels.py::contact_resolution_sensitivity(), which reads the Fig1E/1F npz caches directly (not run_contact_architecture_analysis.py). Panel's own README explicitly matches this description.
S1C	final	figs1_contact_allele_delta	figures/rendered/FigureS1C.svg	outputs/source_data/FigureS1C_contact_allele_delta/	ALL_FOLDS		investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_contact_allele_delta_control/figure1_contact_allele_delta_control.svg	investigation/SORT1_cholesterol_musunuru_2010/report/panel_contact/run_contact_architecture_analysis.py	Small ALT-vs-REF contact change Panel A (WT-vs-ALT virtual-4C line) is plotted from a raw npz cache with no compact-table equivalent; not covered by this release's source data (documented gap, not fabricated).
S1D	final	figs1_contact_contexts	figures/rendered/FigureS1D.svg	outputs/source_data/FigureS1D_contact_contexts.tsv	ALL_FOLDS		investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_contact_cross_context/figure1_contact_cross_context.svg	investigation/SORT1_cholesterol_musunuru_2010/report/panel_contact/run_contact_architecture_analysis.py	12 contact-map contexts; ABC panel excluded
S2A-C	final	figs2_eqtl_fold0	figures/rendered/FigureS2/	outputs/source_data/FigureS2_eqtl_fold0/	ALL_FOLDS;FOLD_0	GTEx_v7;1000G_Phase3_EUR	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_fold0_variant_prioritization/figureS1C_all_folds_vs_fold0.svg	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/build_figure1_supplementary_panels.py	Final numbering/composite needs manuscript reconciliation. Rendered by build_figure1_supplementary_panels.py::fold0_variant_prioritization(); run_fold0_variant_prioritization.py only produces the upstream FOLD_0 API cache (no API call needed to re-render from cached _source.tsv files).
S3A-G	final	figs3_caqtl_locus	figures/rendered/FigureS3/	outputs/source_data/FigureS3_caqtl_locus/	ALL_FOLDS;FOLD_0	Currin_2025;1000G_Phase3_EUR	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s2_caqtl_locus/figureS2A_observed_caqtl.svg	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s2_caqtl_locus/build_figure_s2.py	Legacy S2 inferred to become S3
S4A	final	figs4_human_repair_depth	figures/rendered/FigureS4A.svg	outputs/source_data/FigureS4A_sequencing_depth.tsv	ALL_FOLDS	Wang_2018	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s4_wang_repair_weighting/FigureS4A_Wang_sequencing_depth.svg	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s4_wang_repair_weighting/make_figure_s4_weighted_panels.py	Human only: sequencing depth per repair-outcome bin.
S4B	final	figs4_human_repair_freqweighted_heatmap	figures/rendered/FigureS4B.svg	outputs/source_data/FigureS4B_freqweighted_heatmap/	ALL_FOLDS	Wang_2018	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s4_wang_repair_weighting/FigureS4B_frequency_weighted_all_repair_outcomes.svg	investigation/SORT1_cholesterol_musunuru_2010/report/panel_wang_et_al_indels/plot_human_frequency_weighted_heatmap.py	Human only: frequency-weighted repair-outcome heatmap. Per panel README this heatmap (not the scatter from make_figure_s4_weighted_panels.py's comparison_panel()) is the official S4B, confirmed by author. Script run with non-default --output-dir/--stem into this directory.
S4C	final	figs4_human_repair_junction_reconstruction	figures/rendered/FigureS4C.svg	outputs/source_data/FigureS4C_junction_reconstruction.tsv	ALL_FOLDS	Wang_2018	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/archive_s4_crispr_motif_and_insertions_before_split/figureS4B_selected_systematic_deletion_alignment.svg	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/archive_s4_crispr_motif_and_insertions_before_split/make_figure_s4_panels.py	Human only: repair-junction reconstruction for the 30 selected systematic deletion products (reference-coordinate alignment) with adjacent three-gene RNA heatmap. Confirmed manuscript-final by author 2026-08-01; note the source directory is misleadingly named 'archive_...before_split' but contains the current final panels (script mtime is the most recent in the S4 tree).
S4D	final	figs4_human_repair_downstream_stratified	figures/rendered/FigureS4D.svg	outputs/source_data/FigureS4D_downstream_stratified/	ALL_FOLDS	Wang_2018	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/archive_s4_crispr_motif_and_insertions_before_split/figureS4C_selected_systematic_deletion_rna_effects.svg	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/archive_s4_crispr_motif_and_insertions_before_split/make_figure_s4_panels.py	Human only: same 30 deletion products stratified by downstream deletion extent and exact motif restoration/disruption. Confirmed manuscript-final by author 2026-08-01.
S5A	final	figs5_kircher_sort1_rna_substitutions	figures/rendered/FigureS5A.svg	outputs/source_data/FigureS5A_RNA_substitutions.tsv	ALL_FOLDS;FOLD_0	Kircher_2019	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s5_kircher_sort1_model_comparison/FigureS5A_RNA_substitutions_ALL_FOLDS_vs_FOLD0.svg	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s5_kircher_sort1_model_comparison/make_figure_s5_model_comparison.py	RNA substitutions, ALL_FOLDS vs FOLD0, three-gene mean/SORT1/PSRC1/CELSR2, SORT1+SORT1.2 constructs averaged. Author-confirmed final design 2026-08-01. Source table is 1.85 MB (flagged large for a 'compact' table but not a raw tensor cache).
S5B	final	figs5_kircher_sort1_atac_substitutions	figures/rendered/FigureS5B.svg	outputs/source_data/FigureS5B_ATAC_substitutions.tsv	ALL_FOLDS;FOLD_0	Kircher_2019	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s5_kircher_sort1_model_comparison/FigureS5B_chromatin_substitutions_ALL_FOLDS_vs_FOLD0.svg	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s5_kircher_sort1_model_comparison/make_figure_s5_model_comparison.py	ATAC substitutions, ALL_FOLDS vs FOLD_0. Dedicated split panel rendered deterministically from the frozen release table by figures/figS5.py; no API call required.
S5C	final	figs5_kircher_sort1_h3k27ac_substitutions	figures/rendered/FigureS5C.svg	outputs/source_data/FigureS5C_H3K27ac_substitutions.tsv	ALL_FOLDS;FOLD_0	Kircher_2019	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s5_kircher_sort1_model_comparison/FigureS5B_chromatin_substitutions_ALL_FOLDS_vs_FOLD0.svg	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s5_kircher_sort1_model_comparison/make_figure_s5_model_comparison.py	H3K27ac substitutions, ALL_FOLDS vs FOLD_0. Dedicated split panel rendered deterministically from the frozen release table by figures/figS5.py; no API call required.
S5D	final	figs5_kircher_sort1_rna_deletions	figures/rendered/FigureS5D.svg	outputs/source_data/FigureS5D_RNA_deletions.tsv	ALL_FOLDS;FOLD_0	Kircher_2019	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s5_kircher_sort1_model_comparison/FigureS5C_RNA_deletions_ALL_FOLDS_vs_FOLD0.svg	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s5_kircher_sort1_model_comparison/make_figure_s5_model_comparison.py	1-bp RNA deletions, ALL_FOLDS vs FOLD0, three-gene mean/SORT1/PSRC1/CELSR2. On disk this is labeled panel C (the model-comparison folder only has 3 letters); relabeled D here per author instruction 2026-08-01 to keep the release's A-D ordering (RNA subs / ATAC / H3K27ac / RNA deletions) consistent. Do NOT confuse with panel_s5_kircher_sort1_heldout/FigureS5D_RNA_deletions_two_constructs.svg, a methodologically different FOLD_0-only two-construct comparison that was explicitly rejected for this release.
S6A-C	final	figs6_kircher_other_loci	figures/rendered/FigureS6/	outputs/source_data/FigureS6_kircher_other_loci/	ALL_FOLDS;MATCHED_HELDOUT	Kircher_2019	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s6_kircher_other_loci_model_comparison/FigureS6A_DNase_ALL_FOLDS_vs_matched_heldout.svg	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s6_kircher_other_loci_model_comparison/make_figure_s6_model_comparison.py	DNase, ATAC, and correlation-summary panels; use model-comparison generation
S7	final	figs7_native_sequence_audit	figures/rendered/FigureS7.svg	outputs/source_data/FigureS7_native_sequence_audit.tsv	ALL_FOLDS;FOLD_0	JASPAR_2024	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s8_native_sequence_sensitivity/FigureS8B_ALL_FOLDS_vs_FOLD0_hotspot_audit.svg	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s8_native_sequence_sensitivity/make_figure_s8_panels.py	Final composition/number needs check. Resolved by content lineage: only consumer of native_hotspot_ALL_FOLDS_FOLD0_scores.tsv (from run_native_hotspot_fold0_validation.py). On-disk filename is FigureS8B (KNOWN NUMBERING HAZARD: a different, unrelated archive panel_s9_scramble_boundary_robustness also maps to this manifest's S8A-E — do not confuse the two).
S8A-E	final	figs8_boundary_robustness	figures/rendered/FigureS8/	outputs/source_data/FigureS8_boundary_robustness/	ALL_FOLDS;FOLD_0		investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s9_scramble_boundary_robustness/FigureS9A_three_gene_directional_recovery.svg	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s9_scramble_boundary_robustness/make_figure_s9_panels.py	Final user-shown composite contains directional recovery, component audit, complete grid, thresholds, and 315-bp gene distributions
S9A-E	final	figs9_module_transfer_controls	figures/rendered/FigureS9/	outputs/source_data/FigureS9_module_transfer_controls/	ALL_FOLDS	HPA_v24_1	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s10_module_transfer_controls/panel_A_HPA_vs_AlphaGenome_native_RNA/FigureS10A_HPA_liver_vs_AlphaGenome_native_RNA.svg	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s10_module_transfer_controls/build_figure_s10_transfer_controls.py	Final manuscript Figure S9: A=HPA_v24_1 vs native AlphaGenome liver RNA, B=T-minus-G effect across promoter distance, C=T-minus-G effects across HPA_v24_1 cohorts, D=absolute T-minus-G vs native RNA, E=relative T/G vs native RNA. Working-archive assets retain their former Figure S10 names. Panel F is excluded.
S10A-B	final	figs10_distal_and_tissue_controls	figures/rendered/FigureS10/	outputs/source_data/FigureS10_distal_and_tissue_controls/	ALL_FOLDS;FOLD_0	4DNFICSTCJQZ	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s11_distal_and_context_controls/FigureS11A_contact_associated_RNA_by_50kb_distance.svg	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s11_distal_and_context_controls/make_combined_figure_s11.py	Final manuscript Figure S10: A=50-kb distance scatter and B=tissue replication. Working-archive assets retain their former Figure S11 names.
ABC	exclude	abc_cross_biosample			NA	Nasser_2021	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_abc_cross_biosample/figure1_abc_cross_biosample.svg		Published allele-agnostic dataset only; not selected as an AlphaGenome panel
