release_path	size_bytes	release_sha256	migration_operation	legacy_source_paths
outputs/source_data/Figure2E_kircher_correlations.tsv	893823	484c65ede82960346dd119beb48276098540f4096593977ba136a18752bc8b15	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_kircher/kircher_t_background/results/ag_kircher_t_background_matched.tsv
outputs/source_data/Figure2F_kircher_multielement/RESULTS.json	1840	6b213c47ca0fb8ab2a0c322b641b7c53902e3e0b8545df4988b03cd6f38483b9	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_kircher_multielement/RESULTS.json
outputs/source_data/Figure2F_kircher_multielement/kircher_multielement_element_statistics.tsv	1726	2f5282587a1a3d14ea6750307a8ab7c7b23fe94c782dee29892cd4e8e659c739	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_kircher_multielement/kircher_multielement_element_statistics.tsv
outputs/source_data/Figure3A_regional_ism/run_metadata.json	1739	bbebfe4ca9672effda12de81b907318ef9df3c8735db4bef9e8f8ec9e9d8a62d	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/results/figure2/panel_a/run_metadata.json
outputs/source_data/Figure3A_regional_ism/stage2_top_windows_per_gene.tsv	17928	1442d885e3ac2fdb866f43987f9d96d4f93cf60fa26881fdb7aa580cd1bf1ba4	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/results/figure2/panel_a/stage2_top_windows_per_gene.tsv;investigation/SORT1_cholesterol_musunuru_2010/results/figure2E_100kb_rna_ism/stage2_top_windows_per_gene.tsv
outputs/source_data/Figure3B_native_501bp_ism/native_locus_501bp_SORT1_hotspots.tsv	579	9f5c72296e77843e1c58c5e74dbccfc2db80f02843f099d02ad5930d5f25a07c	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_B_base_substitution_501bp/results_native_locus/native_locus_501bp_SORT1_hotspots.tsv
outputs/source_data/Figure3B_native_501bp_ism/native_locus_501bp_three_gene_mean_position_summary.tsv	50652	eb33f0a02791263992499d1e037769f5ae77db23eebe3986126f1e1ffb3724e4	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_B_base_substitution_501bp/results_native_locus/native_locus_501bp_three_gene_mean_position_summary.tsv
outputs/source_data/Figure3B_native_501bp_ism/native_locus_501bp_three_gene_mean_scores.tsv	223226	95f887d77d64356f76849df61a11647ed7b6a08c855975df746337d799c8de43	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_B_base_substitution_501bp/results_native_locus/native_locus_501bp_three_gene_mean_scores.tsv
outputs/source_data/Figure3C_pwm_compatibility.tsv	1126	3f0ec1ca6e2cd4f92bf1e8072b1c492889deaded37eca7a28066147da5864f80	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_C_motif_family_disruption/Figure3C_PWM_disruption_values.tsv
outputs/source_data/Figure3E_directional_recovery.tsv	5354	54f55461f0b19d756011d3cc0e52cfe875cb601012a2e6044029cc5db6ad811a	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_E_directional_scramble_recovery/Figure3E_directional_scramble_recovery_three_gene_source.tsv
outputs/source_data/Figure3F_boundary_grid/selected_mean_window.csv	683	2ce6598d31e2e93ddc204a17858a3184e03e8b1b89f40cd842e3e319b3cd3924	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_asymmetric_scramble/results/wide_main_panel_1bp_all_folds/selected_mean_window.csv
outputs/source_data/Figure3F_boundary_grid/selected_median_window.csv	683	d37cf4f3bcea04a66e39de3b123eb79d27cbcfc6631e8187183136901a48b34c	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_asymmetric_scramble/results/complete_existing_coordinate_grid_all_folds/selected_median_window.csv;investigation/SORT1_cholesterol_musunuru_2010/report/panel_asymmetric_scramble/results/fine_2d_minimal_core_all_folds/selected_median_window.csv;investigation/SORT1_cholesterol_musunuru_2010/report/panel_asymmetric_scramble/results/wide_main_panel_1bp_all_folds/selected_median_window.csv
outputs/source_data/Figure3F_boundary_grid/surface_summary_paired.csv	688377	77b9edeaaea5065547ed32ea0b818cf441984b7f6e35b4899313c24893c00124	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_asymmetric_scramble/results/wide_main_panel_1bp_all_folds/surface_summary_paired.csv
outputs/source_data/Figure3G_component_necessity.tsv	964	15a569ab716e97502b51b4b682aa85faf579b90e811f2cf6e9845646eed3cb4e	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_F_component_necessity_expanded/Figure3G_component_necessity_three_gene_mean_source.tsv
outputs/source_data/Figure4B_distance_response.tsv	2204	037e0b484667412558fe5b70abdb2b806d60e5f9f9d3a877785c2d97e83c0d5c	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_scramble_no_expression/results/hpa_liver_315bp_portability_replication/main_figure_panels/Figure3D_315bp_distance_response_values.csv
outputs/source_data/Figure4C_foldchange_cohorts/Figure4C_fold_change_summary.csv	1710	ba39e9628d489266e734630ad9c0ef4ebfc35fca7fad1791bb59858e46cf02ce	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/figure4_portability_315bp/panel_C_fold_change_by_cohort/Figure4C_fold_change_summary.csv
outputs/source_data/Figure4C_foldchange_cohorts/Figure4C_fold_change_values.csv	3298700	f2b92ce1b18cae3c952b62bcb6985d033fe7470de88ca0ab8a581207909ed161	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/figure4_portability_315bp/panel_C_fold_change_by_cohort/Figure4C_fold_change_values.csv
outputs/source_data/Figure4E_distance_fraction_positive/analysis_table.tsv	1981102	5859fb17f22f2fb6a91b2e30360c5edc0ace1081fa0ea09feb304eb929faf5f5	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_distal_hic_transfer/results/chr1_distal_315_transfer_v3_analysis/analysis_table.tsv
outputs/source_data/Figure4E_distance_fraction_positive/plot_distance_band_bootstrap.tsv	426	0fcb52d3c3dac7aed854d3136e194081c3743383dd79ed0ed2444911c482ac8a	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_distal_hic_transfer/plots/plot_distance_band_bootstrap.tsv
outputs/source_data/Figure4F_contact_dose_response.tsv	2536	0033daee252bbe3fe680849f759e1d45f2a371df92537b224015366792e8cf45	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_distal_hic_transfer/plots/plot_contact_quintiles_five_distance_bands.tsv
outputs/source_data/Figure4G_tissue_rna.tsv	474	5e16a2b92d79efbebf08d929df8a9a2c98937bce9121420d5614e451c6e0770e	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_other_tissues/figure1_panel_b_heatmap_all_ontologies_fixed_scale_pm1_narrow_rs12740374.tsv
outputs/source_data/FigureS10_distal_and_tissue_controls/FigureS10A_contact_associated_RNA_by_50kb_distance_source.tsv	1981	6cc4e88ff1f24b969bf41103e22faa33060253ff55d51216d010cdeedbfc0014	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s11_distal_and_context_controls/FigureS11A_contact_associated_RNA_by_50kb_distance_source.tsv;investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s11_distal_hic_transfer/FigureS11A_contact_associated_RNA_by_50kb_distance_source.tsv
outputs/source_data/FigureS10_distal_and_tissue_controls/fold0_tissue_matrix.tsv	509	a1ad503ac08be3ffa0a9aab59c179597d0c43d8059812bfc8597aeb96b6733b0	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_fold0_tissue_replication/fold0_tissue_matrix.tsv
outputs/source_data/FigureS1A_observed_virtual4c.tsv	2910	4441c8f6137349a91c57ea28d8c9c0a3b7cac4fabd82baf6b3e49af65aa9c975	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_contact/figure1_exports/figure1_contact_observed_virtual4c_source.tsv;investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_observed_virtual4c/figure1_contact_observed_virtual4c_source.tsv
outputs/source_data/FigureS1B_tss_bin_contact.tsv	613	335401225a767beec21d65f920ca7b6a2d06905c2ac291c1c878cb412937c825	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_contact_resolution_sensitivity/figure1_contact_resolution_sensitivity_source.tsv
outputs/source_data/FigureS1C_contact_allele_delta/panelB_promoter_allele_delta.tsv	210	44703a78ce6e94532c00e611889eb20f78d9028f3f7fd10fdbf80eb0d3ac117e	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_contact/hepg2_promoter_allele_delta.tsv;investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_contact_allele_delta_control/hepg2_promoter_allele_delta.tsv
outputs/source_data/FigureS1C_contact_allele_delta/panelC_contact_map_scores.tsv	5258	af225656a209a34832c94fe242a45fca50bf4b76d7028f630c8639e340c4dd21	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_contact/rs12740374_official_contact_map_scores.tsv;investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_contact_allele_delta_control/rs12740374_official_contact_map_scores.tsv
outputs/source_data/FigureS1C_contact_allele_delta/panelC_local_snv_null.tsv	9228	9f6e303ee7d40a63b31e3d3bd5e7cd2dfd155c630bd42938b11445cefc7ae487	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/enhanced_results/panel_d_contact_map_null_EFO_0001187_SORT1_w1048576bp_anchorlocal10000bp.tsv;investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_contact_allele_delta_control/local_snv_null_source.tsv
outputs/source_data/FigureS1D_contact_contexts.tsv	8827	6e407103e3f1c03678de9fc5a7f5524de83d26fc5b03d5e5a1578b2a2e7238fe	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_contact_cross_context/figure1_contact_cross_context_source.tsv
outputs/source_data/FigureS2_eqtl_fold0/figureS1A_gtex_vs_rs127_ld_tagging_all_folds_source.tsv	36904	127d4e373e1c3e494c047dad13a3599fecb090d0655094e77181805e47b7590c	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_fold0_variant_prioritization/figureS1A_gtex_vs_rs127_ld_tagging_all_folds_source.tsv
outputs/source_data/FigureS2_eqtl_fold0/figureS1B_gtex_vs_rs127_ld_tagging_fold_0_source.tsv	36129	b08bba9a1ecaf902fb08d041e12c57edc195d8973236f57fa27987a269f629e4	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_fold0_variant_prioritization/figureS1B_gtex_vs_rs127_ld_tagging_fold_0_source.tsv
outputs/source_data/FigureS2_eqtl_fold0/figureS1C_all_folds_vs_fold0_source.tsv	22216	3ccc3c9cd0e7d6b45c694d860e4513671ed2898fb09b75eb4ad8b5e1cb0169c7	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_figure1_fold0_variant_prioritization/figureS1C_all_folds_vs_fold0_source.tsv
outputs/source_data/FigureS3_caqtl_locus/figureS2_correlations.tsv	906	551b4cf1012b87849907eefffad819b01d8b5e7a9f266bb67e5d36350de179ce	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s2_caqtl_locus/figureS2_correlations.tsv
outputs/source_data/FigureS3_caqtl_locus/figureS2_displayed_values.tsv	88403	9929f59bb3811e43a64ad16f156fb07d4089438443d042bed1a5f7512983b24a	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s2_caqtl_locus/figureS2_displayed_values.tsv
outputs/source_data/FigureS4A_sequencing_depth.tsv	212	17ed3bacab6835c8f3cf14a0b7af7255b261c5d84ef5d5b8901c03e3272129a4	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s4_wang_repair_weighting/FigureS4A_sequencing_depth_source.tsv
outputs/source_data/FigureS4B_freqweighted_heatmap/FigureS4B_frequency_weighted_all_repair_outcomes_columns.csv	2878	42668c259932dda5790663a1ba38705cdd028bb66b840e2ce4b4bb2548791a39	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_wang_et_al_indels/results/human_target3_repair_outcome_frequency_weighted_heatmap_all24_columns.csv;investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s4_wang_repair_weighting/FigureS4B_frequency_weighted_all_repair_outcomes_columns.csv;investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s4_wang_repair_weighting/sensitivity_postnatal_strand_matched/FigureS4B_sensitivity_frequency_weighted_all_repair_outcomes_columns.csv
outputs/source_data/FigureS4B_freqweighted_heatmap/FigureS4B_frequency_weighted_all_repair_outcomes_matrix.csv	1718	f16ccf1a7885e377dada6003c9392c7bcfcd60eb18de7a7fbd5701fffac87b28	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s4_wang_repair_weighting/FigureS4B_frequency_weighted_all_repair_outcomes_matrix.csv
outputs/source_data/FigureS4B_freqweighted_heatmap/FigureS4B_frequency_weighted_all_repair_outcomes_summary.csv	237	a866de9232d2122d500b1768adbc12c9e2697fbe90729b94b308bcb5e74c4b03	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s4_wang_repair_weighting/FigureS4B_frequency_weighted_all_repair_outcomes_summary.csv
outputs/source_data/FigureS4B_freqweighted_heatmap/FigureS4B_frequency_weighted_all_repair_outcomes_unweighted_percent_matrix.csv	1558	0015dcf0bba51103f6fa1fa47becad81b3a8579e9b52a940edc4b2d6e649d3ef	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s4_wang_repair_weighting/FigureS4B_frequency_weighted_all_repair_outcomes_unweighted_percent_matrix.csv
outputs/source_data/FigureS4C_junction_reconstruction.tsv	11447	8ef66714bbdc97b4ab8f4a6f88df18ef6e03e6581e7490db055b0610e130ae16	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/archive_s4_crispr_motif_and_insertions_before_split/figureS4B_selected_systematic_deletions_source_data.csv;investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s5_crispr_junction_restoration/FigureS5A_source_data.csv
outputs/source_data/FigureS4D_downstream_stratified/figureS4C_selected_systematic_deletions_group_summary.csv	1271	9cd8b701d21a0fbe37989bf3131d17f660ba63cd04cb06048ee8306dbe63629d	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/archive_s4_crispr_motif_and_insertions_before_split/alternatives_junction_restoration/alternative_panel_c_group_summary.csv;investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/archive_s4_crispr_motif_and_insertions_before_split/figureS4C_selected_systematic_deletions_group_summary.csv;investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s5_crispr_junction_restoration/FigureS5B_group_summary.csv
outputs/source_data/FigureS4D_downstream_stratified/figureS4C_selected_systematic_deletions_source_data.csv	56788	f07012608c5290519aa943b9fb6399b33b618a52d901e3a3365879128dcdaeac	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/archive_s4_crispr_motif_and_insertions_before_split/figureS4C_selected_systematic_deletions_source_data.csv;investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s5_crispr_junction_restoration/FigureS5B_source_data.csv
outputs/source_data/FigureS5A_RNA_substitutions.tsv	1852734	b18003a50b68740371a03b86a90b45474678083f3e22e219dc61fb613a7afc1c	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s5_kircher_sort1_model_comparison/FigureS5A_RNA_substitutions_ALL_FOLDS_vs_FOLD0_source.tsv;investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s5_kircher_sort1_model_comparison/FigureS5B_chromatin_substitutions_ALL_FOLDS_vs_FOLD0_source.tsv
outputs/source_data/FigureS5B_ATAC_substitutions.tsv	1852734	b18003a50b68740371a03b86a90b45474678083f3e22e219dc61fb613a7afc1c	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s5_kircher_sort1_model_comparison/FigureS5A_RNA_substitutions_ALL_FOLDS_vs_FOLD0_source.tsv;investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s5_kircher_sort1_model_comparison/FigureS5B_chromatin_substitutions_ALL_FOLDS_vs_FOLD0_source.tsv
outputs/source_data/FigureS5C_H3K27ac_substitutions.tsv	1852734	b18003a50b68740371a03b86a90b45474678083f3e22e219dc61fb613a7afc1c	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s5_kircher_sort1_model_comparison/FigureS5A_RNA_substitutions_ALL_FOLDS_vs_FOLD0_source.tsv;investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s5_kircher_sort1_model_comparison/FigureS5B_chromatin_substitutions_ALL_FOLDS_vs_FOLD0_source.tsv
outputs/source_data/FigureS5D_RNA_deletions.tsv	254390	c6a786d90f19aa4b995bb588362a3beb9b716d5c8b798e69d21a3b602584695a	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s5_kircher_sort1_model_comparison/FigureS5C_RNA_deletions_ALL_FOLDS_vs_FOLD0_source.tsv
outputs/source_data/FigureS6_kircher_other_loci/FigureS6A_DNase_ALL_FOLDS_vs_matched_heldout_source.tsv	1681811	ca4f243e8d623b292ba8f353504db190088d505747a4fab4c5aacf4ed3308649	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s6_kircher_other_loci_model_comparison/FigureS6A_DNase_ALL_FOLDS_vs_matched_heldout_source.tsv
outputs/source_data/FigureS6_kircher_other_loci/FigureS6B_ATAC_ALL_FOLDS_vs_matched_heldout_source.tsv	840649	955b3f5180fdaa74c31b5240547503961939e315258ce91ed2c6e8e65c0547c0	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s6_kircher_other_loci_model_comparison/FigureS6B_ATAC_ALL_FOLDS_vs_matched_heldout_source.tsv
outputs/source_data/FigureS6_kircher_other_loci/FigureS6C_accessibility_correlation_model_comparison_source.tsv	2982	05478a9978f832923c44f564b4d91eca1b8e6140d605533110b335229ab2f016	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s6_kircher_other_loci_model_comparison/FigureS6C_accessibility_correlation_model_comparison_source.tsv
outputs/source_data/FigureS7_native_sequence_audit.tsv	4399	7ef7e378e3770c67c2ee3183092823ce9fd9a0efafc386fd7d86fdba06d67704	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_B_base_substitution_501bp/results_native_locus/native_hotspot_ALL_FOLDS_FOLD0_scores.tsv
outputs/source_data/FigureS8_boundary_robustness/S8A_summary.csv	15906	ce54ebaf7fedb6cf7afbbef3fc5d1b1a37af241aecaa75763efc755a31d7703a	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_asymmetric_scramble/results/single_arm_recovery_all_folds_exact_nonmotif/summary.csv
outputs/source_data/FigureS8_boundary_robustness/S8B_arm_audit_all_folds_summary.csv	3166	7b511552228310e1e4e50741c80879f3ce525533087d08e3749a8957986eb468	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_asymmetric_scramble/results/final315_arm_audit_all_folds/summary.csv
outputs/source_data/FigureS8_boundary_robustness/S8B_arm_audit_fold0_summary.csv	3147	a746840e1ba90be4786634c70dd27f2e7ed9f384f9a2181ad7cada0d1696a126	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_asymmetric_scramble/results/final315_arm_audit_fold0/summary.csv
outputs/source_data/FigureS8_boundary_robustness/S8C_complete_grid_surface_summary_paired.csv	2158690	d28489c4ca57dd8ecc47ea437623484205379e6b919b947649512875068448a6	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_asymmetric_scramble/results/complete_existing_coordinate_grid_all_folds/surface_summary_paired.csv
outputs/source_data/FigureS8_boundary_robustness/S8DE_retention_by_seed.csv	10406076	a172d309194e339607b63cba2ba206c9bc92dff60c8c9dd03932f0e743e777e0	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_asymmetric_scramble/results/fine_2d_minimal_core_all_folds/retention_by_seed.csv
outputs/source_data/FigureS9_module_transfer_controls/S9A_values.csv	1677837	9a8be2e38204f99648af9b05aa6fb050e7bbb3c0b638c6fbf45d3edfeb99a5ce	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s10_module_transfer_controls/panel_A_HPA_vs_AlphaGenome_native_RNA/FigureS10A_values.csv
outputs/source_data/FigureS9_module_transfer_controls/S9B_per_recipient_values.csv	97241	73775f81c90ea5dd34d61f80b36bed0e1c2b963b6254967cebc035275c7b905b	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s10_module_transfer_controls/panel_B_distance_distributions/FigureS10B_per_recipient_values.csv
outputs/source_data/FigureS9_module_transfer_controls/S9B_summary.csv	1230	c565a816188b1193fa11aee6801dacedd92363e0231445ea2ea607167f14f918	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s10_module_transfer_controls/panel_B_distance_distributions/FigureS10B_summary.csv
outputs/source_data/FigureS9_module_transfer_controls/S9C_per_recipient_values.csv	162903	8884ff4d1048ddd26c5135010d8a86904ddce4b857902d3f6f2bbf5b59d29b0e	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s10_module_transfer_controls/panel_C_paired_T_minus_G/FigureS10C_per_recipient_values.csv
outputs/source_data/FigureS9_module_transfer_controls/S9C_summary.csv	518	68a555304caa8de96b2eb707c5883c550179d3950680f7e22050b73bdd6a92d4	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s10_module_transfer_controls/panel_C_paired_T_minus_G/FigureS10C_summary.csv
outputs/source_data/FigureS9_module_transfer_controls/S9D_values.csv	107360	76d254a41c9b4574c309eb36ee5ba3ba5512c3cda8ac3ca493d621a04189468b	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s10_module_transfer_controls/panel_D_native_vs_absolute_effect/FigureS10D_native_RNA_vs_absolute_T_minus_G_values.csv
outputs/source_data/FigureS9_module_transfer_controls/S9E_values.csv	106102	1387b68786ec760d47d76516fd9d085f439210aeda4e97c6772e7ea9651376b8	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s10_module_transfer_controls/panel_E_native_vs_relative_effect/FigureS10E_native_RNA_vs_relative_T_over_G_values.csv
