panel	model_regime	prediction_context_bp	output_modality	ontology_or_biosample	track_selection	scorer_or_measure	aggregation_window_or_endpoint	output_summary	parameter_source	fasta_source
3E	ALL_FOLDS	524288	RNA_SEQ	liver UBERON:0002107	All liver tracks; averaged	Raw sequence prediction (no variant scorer)	TSS +/-2 kb; allele-effect retention; 8 seeds	Three-gene liver RNA retention across eight scramble seeds	report/panel_asymmetric_scramble results	local_fasta
3F	ALL_FOLDS	524288	RNA_SEQ	liver UBERON:0002107	All liver tracks; averaged	Raw sequence prediction (no variant scorer)	SORT1 TSS +/-2 kb; allele-effect retention; 8 seeds	SORT1 liver RNA retention across eight scramble seeds	report/panel_asymmetric_scramble results	local_fasta
3G	ALL_FOLDS	524288	RNA_SEQ	liver UBERON:0002107	All liver tracks; averaged	Raw sequence prediction (no variant scorer)	TSS +/-2 kb; equal 3-gene retention mean; 8 seeds	Three-gene liver RNA retention across eight scramble seeds	report/panel_asymmetric_scramble results	local_fasta
4B	ALL_FOLDS	1048576	RNA_SEQ	liver UBERON:0002107	Gene-strand-compatible liver tracks; averaged	Raw sequence prediction (no variant scorer)	Mean signal within +/-2 kb of recipient TSS	Liver RNA within +/-2 kb of recipient TSS	report/panel_scramble_no_expression/run_hpa_315bp_portability_replication.py	local_fasta
4C	ALL_FOLDS	1048576	RNA_SEQ	liver UBERON:0002107	Gene-strand-compatible liver tracks; averaged	Raw sequence prediction (no variant scorer)	Mean signal within +/-2 kb of recipient TSS	Liver RNA within +/-2 kb of recipient TSS	report/panel_scramble_no_expression/run_hpa_315bp_portability_replication.py	local_fasta
4E	ALL_FOLDS	1048576	RNA_SEQ	HepG2 EFO:0001187	Promoter-compatible HepG2 RNA output	Raw sequence prediction (no variant scorer)	4,001-bp recipient-TSS window; high-minus-low T-minus-G interaction	HepG2 RNA within 4,001-bp recipient-TSS window	report/panel_distal_hic_transfer frozen v3 analysis	local_fasta
4F	ALL_FOLDS	1048576	RNA_SEQ	HepG2 EFO:0001187	Promoter-compatible HepG2 RNA output	Raw sequence prediction (no variant scorer)	Same endpoint as 4E; within-distance contact-contrast quintiles	HepG2 RNA within 4,001-bp recipient-TSS window	report/panel_distal_hic_transfer frozen v3 analysis	local_fasta
4G	ALL_FOLDS	1048576	RNA_SEQ	7 tissue ontologies	Gene-strand-compatible tracks averaged within ontology	Recommended RNA variant scorer	Gene-level G-to-T effect	Recommended RNA variant scorer averaged within ontology/gene	report/panel_other_tissues analysis	not_applicable — single-variant multi-tissue prediction; no local sequence fetch
4H	ALL_FOLDS	1048576	RNA_SEQ	liver; CD8+ memory T cell; CD14+ monocyte	Context-matched RNA tracks	Raw sequence prediction (no variant scorer)	TSS +/-2 kb; minimum positive effect shared by all 3 genes	Coordinated three-gene RNA score in three cell contexts	report/panel_synergy_tcell/run_1mb_liver_cd14_tcell_synergy_scan.py	not_applicable — SNV mutagenesis scan; no local sequence fetch
4J	ALL_FOLDS	524288	RNA_SEQ	liver; CD8+ memory T cell; CD14+ monocyte	Context-matched RNA tracks	Raw sequence prediction (no variant scorer)	TSS +/-2 kb; signed 3-gene sum; best signed orientation	Summed three-gene RNA delta after same-length motif replacement	results/figure3/panelF/tf_insertion_dense_100kb_8tf_3tracks/run_dense_tf_insertion_100kb.py	ucsc_endpoint — via shared helper panel_e._fetch_ucsc_sequence()
S1B	FOLD_0;EXPERIMENTAL	1048576	CONTACT_MAPS	HepG2 EFO:0001187; experimental 4DNFICSTCJQZ	Same tracks/maps as 1E-1F	Same-distance percentile	Single TSS-containing bin	TSS-containing contact bin sensitivity	report/supplementary_figures/build_figure1_supplementary_panels.py	not_applicable — derived from Fig1E/1F contact caches; no local sequence fetch
S1C	ALL_FOLDS	1048576	CONTACT_MAPS	HepG2 EFO:0001187	HepG2 contact tracks	ContactMapScorer plus promoter-specific O/E delta	2,048-bp promoter bins; local 100-SNV control	Allele-specific contact-map and local-SNV controls	report/panel_contact/run_contact_architecture_analysis.py	not_applicable — allele-specific contact/local-SNV controls; no local sequence fetch
S1D	ALL_FOLDS	1048576	CONTACT_MAPS	12 available model ontologies	All 28 tracks, averaged within ontology	Raw reference contact-map output	2,048-bp bins; 3-bin promoter summary; same-distance percentile	Same-distance contact percentiles across 12 contact-map contexts	report/panel_contact/run_contact_architecture_analysis.py	not_applicable — same script as S1C
S2A-C	ALL_FOLDS;FOLD_0	1048576	RNA_SEQ	liver UBERON:0002107	Same gene-strand-compatible indices as 1C	GeneMaskLFCScorer	Exon-masked gene score; 111 direct variants; no LD term in panel C	GeneMaskLFCScorer; same frozen 111 variants	report/supplementary_figures/build_figure1_supplementary_panels.py	not_applicable — GeneMaskLFCScorer on Variant objects; no local sequence fetch
S3A-G	ALL_FOLDS;FOLD_0	1048576	ATAC	liver UBERON:0002107; HepG2 EFO:0001187	All liver and HepG2 ATAC outputs; summed	Center-mask DIFF_LOG2_SUM	Variant-level direct or rs12740374-tagging score	Liver/HepG2 ATAC variant scores and rs12740374 tagging model	report/supplementary_figures/panel_s2_caqtl_locus/build_figure_s2.py	not_applicable — ATAC variant scoring; no local sequence fetch
S4A	ALL_FOLDS	524288	experimental read counts	primary human hepatocytes	Wang et al. human reads	No AlphaGenome scoring in panel A	Human repair-depth and product coverage summary	Human CRISPR sequencing-depth summary	report/panel_wang_et_al_indels	local_fasta — shares script family with 2B/2C
S4B	ALL_FOLDS	524288	RNA_SEQ	liver UBERON:0002107	Target index 4; same cached predictions as human repair analysis	Raw sequence prediction	TSS +/-2 kb; product effect multiplied by conditional human indel frequency	Postnatal liver RNA track 4; frequency-weighted repair contributions	report/panel_wang_et_al_indels/plot_human_frequency_weighted_heatmap.py	derived_from_local_fasta_predictions — renderer uses cached outputs from the same Wang reconstruction pipeline as 2B
S4C	ALL_FOLDS	524288	RNA_SEQ	liver UBERON:0002107	Target index 4	Raw sequence prediction	TSS +/-2 kb; selected deletion geometries	Postnatal liver RNA track 4; selected systematic deletions	report/panel_wang_et_al_indels/synthetic_cutsite_scan	local_fasta
S4D	ALL_FOLDS	524288	RNA_SEQ	liver UBERON:0002107	Target index 4	Raw sequence prediction	TSS +/-2 kb; selected deletion geometries grouped by junction status	Postnatal liver RNA track 4; selected systematic deletions	report/panel_wang_et_al_indels/synthetic_cutsite_scan	local_fasta
S5A	ALL_FOLDS;FOLD_0	regulatory:16384;RNA:131072	RNA_SEQ	HepG2 EFO:0001187	Gene-strand-compatible RNA tracks	Recommended RNA variant scorer	Construct-averaged MPRA substitutions; 3 genes and mean	Kircher RNA substitutions; SORT1/SORT1.2 constructs averaged	report/panel_kircher/kircher_t_background run summaries	not_applicable — substitutions scored via Variant object; no local sequence fetch
S5B	ALL_FOLDS;FOLD_0	16384	ATAC;CHIP_HISTONE	HepG2 EFO:0001187	Matched ATAC and H3K27ac tracks	Recommended ATAC/histone variant scorers	Construct-averaged MPRA substitutions	Kircher ATAC substitutions; SORT1/SORT1.2 constructs averaged	report/panel_kircher/kircher_t_background run summaries	not_applicable — same as S5A
S5C	ALL_FOLDS;FOLD_0	16384	RNA_SEQ	HepG2 EFO:0001187	Gene-strand-compatible RNA tracks	Recommended RNA scorer on reconstructed one-base deletions	Construct-averaged MPRA deletions	Kircher H3K27ac substitutions; SORT1/SORT1.2 constructs averaged	report/panel_kircher/kircher_t_background run summaries	not_applicable — same as S5A
S5D	ALL_FOLDS;FOLD_0	RNA:131072	RNA_SEQ	HepG2 EFO:0001187	Gene-strand-compatible RNA tracks	Recommended RNA scorer on reconstructed one-base deletions	Legacy grouped S5 range; final figure has A-C	Kircher one-base RNA deletions; SORT1/SORT1.2 constructs averaged	report/panel_kircher/kircher_t_background/deletions run summaries	local_fasta — deletions subdirectory only
S6A-C	ALL_FOLDS;MATCHED_HELDOUT	16384	DNASE;ATAC	Experimental cell-line matched	Same per-element tracks as 2F	Center-mask DIFF_LOG2_SUM	Identical edits under ALL_FOLDS and matched held-out fold	Matched DNase/ATAC accessibility benchmark	report/panel_kircher_multielement/run_multielement_benchmark.py	not_applicable — substitution/accessibility scoring; no local sequence fetch
S7	ALL_FOLDS;FOLD_0	524288	RNA_SEQ	liver UBERON:0002107	All liver tracks; averaged	Raw sequence prediction	Combined-window loss at 7 frozen windows; 3 TSSs +/-2 kb	Held-out native hotspot audit	report/figure3_restructured/panel_B_base_substitution_501bp	local_fasta
S8A-E	ALL_FOLDS;FOLD_0	524288	RNA_SEQ	liver UBERON:0002107	All liver tracks; averaged	Raw sequence prediction	TSS +/-2 kb; scramble retention; 8 seeds	Scramble-retention and boundary robustness	report/panel_asymmetric_scramble results	local_fasta
S9A-E	ALL_FOLDS	1048576	RNA_SEQ	liver UBERON:0002107	Gene-strand-compatible liver tracks; averaged	Raw sequence prediction	Recipient TSS +/-2 kb; native/transfer controls	Native and transferred liver RNA within +/-2 kb of recipient TSS	report/panel_scramble_no_expression/run_hpa_315bp_portability_replication.py	local_fasta
S10A-B	ALL_FOLDS;FOLD_0	1048576	RNA_SEQ	HepG2; 7 tissue ontologies	S10A HepG2 RNA; S10B gene-strand-compatible tissue tracks	Raw sequence prediction; recommended RNA variant scorer	S10A contact-associated T-minus-G; S10B gene-level G-to-T effects	Distal HepG2 RNA benchmark and tissue-by-gene replication	report/panel_distal_hic_transfer; report/panel_fold0_tissue_replication	mixed: S10A (distal_hic_transfer) is local_fasta; S10B (fold0_tissue_replication) is not_applicable
